id,hebrew,transliterated
19739,שיינפלד אף הביע פליאתו על דברי ראש העירייה,eiinpld ap hbiy pliatw yl dbri rae hyiriih
19740,והטעים כי,whvyim ki
19741,המדובר,hmdwbr
19742,עקרוני של כיבוד הסכמים ושמירה על רפואה ציבורית,yqrwni el kibwd hskmim wemirh yl rpwah cibwrit
19743,דוברת קופת חולים,dwbrt qwpt xwlim
19744,והצפון יוכי באואר מסרה כי קופת חולים הכללית פיטרה את פרוף מרין,whcpwn iwki bawar msrh ki qwpt xwlim hkllit pivrh at prwp mrin
19745,שביצע ניתוחים פרטיים בניגוד להסכם מפורש עמו,ebicy nitwxim prviim bnigwd lhskm mpwre ymw
19746,לטענתה התנגד בשעתו,lvynth htngd beytw
19747,מרין בחוות דעת שהגיש לוועדת מומחים,mrin bxwwt dyt ehgie lwwydt mwmxim
19748,לפתיחת מחלקת לב בבית החולים,lptixt mxlqt lb bbit hxwlim
19749,קפלן ברחובות,qpln brxwbwt
19750,בה בשעה,bh beyh
19751,אמרה הדוברת,amrh hdwbrt
19752,הוא לא היסס להמליץ בחוות,hwa la hiss lhmlic bxwwt
19753,משפטית על הצורך במחלקה נוספת בחיפה בבית החולים חורב,mepvit yl hcwrk bmxlqh nwspt bxiph bbit hxwlim xwrb
19754,על אף שפועלות,yl ap epwylwt
19755,כבר שתי מחלקות בבתי חולים ציבוריים,kbr eti mxlqwt bbti xwlim cibwriim
19756,פרוף שפירא אמר שהנהלת קופת,prwp epira amr ehnhlt qwpt
19757,מוכנה לקבל את פרוף מרין חזרה לעבודה אם יפסיק לנתח במרכז הרפואי הפרטי,mwknh lqbl at prwp mrin xzrh lybwdh am ipsiq lntx bmrkz hrpwai hprvi
19758,פרוף מרין סירב להגיב בסוף השבוע,prwp mrin sirb lhgib bswp hebwy
19759,אך בראיון שהתפרסם שלשום,ak braiwn ehtprsm elewm
19760,הוא אמר,hwa amr
19761,כל רצוני היה שיאפשרו לי לאחר התמסרות של שמונה שנים,kl rcwni hih eiaperw li laxr htmsrwt el emwnh enim
19762,גם במרכז חורב,gm bmrkz xwrb
19763,הודעתי שאני מוותר על הפיצוי הכספי עקב אובדן הכנסה,hwdyti eani mwwtr yl hpicwi hkspi yqb awbdn hknsh
19764,התחייבתי שהקצב השבועי של הניתוחים בבית החולים כרמל יישאר ברמתו ואף יגדל,htxiibti ehqcb hebwyi el hnitwxim bbit hxwlim krml iiear brmtw wap igdl
19765,התחייבתי גם שכל ניתוח פרטי ייערך בימים ובשעות שאין בהם ניתוחים,htxiibti gm ekl nitwx prvi iiyrk bimim wbeywt eain bhm nitwxim
19766,החולים כרמל,hxwlim krml
19767,הסידור שהצעתי היה טוב,hsidwr ehcyti hih vwb
19768,וטוב לחולים,wvwb lxwlim
19769,אבל שום,abl ewm
19770,לא עזר,la yzr
19771,אין לי שמץ של מושג מדוע מתנכלים דווקא לי,ain li emc el mweg mdwy mtnklim dwwqa li
19772,ואני מעדיף לא,wani mydip la
19773,לזה כרגע פירושים,lzh krgy pirweim
19774,פרויקטים חדשים במחקר ופיתוח בהיקף כולל של שמונה מיליון דולר,prwiqvim xdeim bmxqr wpitwx bhiqp kwll el emwnh miliwn dwlr
19775,לחברות ישראליות ואמריקאיות,lxbrwt ieraliwt wamriqaiwt
19776,יוגשו למועצת המנהלים של הקרן הדו,iwgew lmwyct hmnhlim el hqrn hdw
19777,ישראל,ieral
19778,שתתכנס השבוע בירושלים,ettkns hebwy birwelim
19779,הפרויקטים הם בתחומי אלקטרוניקה,hprwiqvim hm btxwmi alqvrwniqh
19780,מחשבים,mxebim
19781,תוכנה,twknh
19782,טלקומוניקציה ומערכות בקרה,vlqwmwniqcih wmyrkwt bqrh
19783,את ישראל מייצגים,at ieral miicgim
19784,משרדי התעשייה והאוצר והמדען הראשי של משרד התעשייה והמסחר,merdi htyeiih whawcr whmdyn hraei el merd htyeiih whmsxr
19785,מייצגים נציגי משרד התעשייה,miicgim ncigi merd htyeiih
19786,החוץ,hxwc
19787,ומכון התקנים האמריקאי,wmkwn htqnim hamriqai
19788,קורן,qwrn
19789,משרד התעשייה,merd htyeiih
19790,ציין כי משרדו נותן עדיפויות לפרויקטים,ciin ki merdw nwtn ydipwiwt lprwiqvim
19791,משתפות פעולה חברות אמריקאיות חדשות,metpwt pywlh xbrwt amriqaiwt xdewt
19792,עם חברות ישראליות,ym xbrwt ieraliwt
19793,בשנת 0991,bent 0991
19794,יגיעו המכירות המצטברות מפיתוחים בעזרת הקרן לסכום הקרוב לכמיליארד דולר,igiyw hmkirwt hmcvbrwt mpitwxim byzrt hqrn lskwm hqrwb lkmiliard dwlr
19795,הקרן הדו,hqrn hdw
19796,לאומית למחקר ופיתוח הוקמה בשנת 7791,lawmit lmxqr wpitwx hwqmh bent 7791
19797,בשנה זו,benh zw
19798,הפקידו,hpqidw
19799,וישראל כל אחד  מיליון דולר בקרן,wieral kl axd  miliwn dwlr bqrn
19800,כשהריבית על ההשקעה משמשת למימון,kehribit yl hheqyh memet lmimwn
19801,משותפים בתחום המחקר והפיתוח,mewtpim btxwm hmxqr whpitwx
19802,במרוצת הזמן,bmrwct hzmn
19803,הועלה סכום הקרן ל011,hwylh skwm hqrn l011
19804,דולר,dwlr
19805,בוקר אחד,bwqr axd
19806,לפני כחמישה חודשים,lpni kxmieh xwdeim
19807,התייצבו סרגיי,htiicbw srgii
19808,ווליה,wwlih
19809,מישה,mieh
19810,מזוודות על הדשא של קיבוץ רוחמה,mzwwdwt yl hdea el qibwc rwxmh
19811,סרגיי דוברוביצקי,srgii dwbrwbicqi
19812,רופא קרדיולוג,rwpa qrdiwlwg
19813,ותק של  שנים,wtq el  enim
19814,נתון עתה בעיצומן של בחינות בבתי,ntwn yth byicwmn el bxinwt bbti
19815,חולים,xwlim
19816,ברחבי הארץ,brxbi harc
19817,רעייתו ווליה,ryiitw wwlih
19818,מהנדסת פנאומטיקה הידראולית,mhndst pnawmviqh hidrawlit
19819,עבדה,ybdh
19820,במפעל,bmpyl
19821,ענק לייצור חלקים לספוטניק,ynq liicwr xlqim lspwvniq
19822,ועתה היא מחפשת דרכים להשתלב כאן,wyth hia mxpet drkim lhetlb kan
19823,המאוד ספציפי שלה,hmawd spcipi elh
19824,בנם מישה בן ה היה בינתיים למיכאל,bnm mieh bn h hih bintiim lmikal
19825,ובסיוע,wbsiwy
19826,עבר גם ברית מילה,ybr gm brit milh
19827,כדי שלא יהפוך לאטרקציה במקלחת המשותפת,kdi ela ihpwk lavrqcih bmqlxt hmewtpt
19828,בני,bni
19829,דוברוביצקי זכו למצות עד תום את מושג הקליטה הישירה,dwbrwbicqi zkw lmcwt yd twm at mweg hqlivh hieirh
19830,לישראל הם הגיעו,lieral hm hgiyw
19831,במאי,bmai
19832,וביום המחרת כבר צפו ממרפסת ביתה של אחותו של סרגיי בנחיתת,wbiwm hmxrt kbr cpw mmrpst bith el axwtw el srgii bnxitt
19833,בחוף ניצנים,bxwp nicnim
19834,שבועיים מאוחר יותר התייצבו בקיבוץ,ebwyiim mawxr iwtr htiicbw bqibwc
19835,בכך היו לשלושה,bkk hiw lelweh
19836,כ008,k008
19837,העולים העושים את צעדי הקליטה הראשונים בישראל במסגרת התנועה הקיבוצית,hywlim hyweim at cydi hqlivh hraewnim bieral bmsgrt htnwyh hqibwcit
19838,צעד קטן לקליטה,cyd qvn lqlivh
19839,שהוא צעד גדול לקיבוץ,ehwa cyd gdwl lqibwc
19840,המתקשה עדיין להתמודד עם,hmtqeh ydiin lhtmwdd ym
19841,הקליטה,hqlivh
19842,בדיון שהתקיים לא מכבר במכון ון,bdiwn ehtqiim la mkbr bmkwn wn
19843,ליר בנושא,lir bnwea
19844,היהיה הקיבוץ,hihih hqibwc
19845,במאה ה12,bmah h12
19846,כרך הפרוף לכלכלה אסף רזין את עתידו של הקיבוץ בעתידה של העלייה,krk hprwp lklklh asp rzin at ytidw el hqibwc bytidh el hyliih
19847,מה שסיפק בעבר את הדלק לקיבוצים הן המשימות הלאומיות שנטל על עצמו,mh esipq bybr at hdlq lqibwcim hn hmeimwt hlawmiwt envl yl ycmw
19848,גם עתה יכול הקיבוץ להפיק מקליטת העלייה תועלת חברתית וכלכלית,gm yth ikwl hqibwc lhpiq mqlivt hyliih twylt xbrtit wklklit
19849,כמו,kmw
19850,השפעה פוליטית,hepyh pwlivit
19851,פרוף רזין היה היחיד שהצביע על תרומת הקליטה לקיבוץ,prwp rzin hih hixid ehcbiy yl trwmt hqlivh lqibwc
19852,יתר הדוברים בדיון,itr hdwbrim bdiwn
19853,נציגי התנועות הקיבוציות,ncigi htnwywt hqibwciwt
19854,לא הפנימו עדיין את,la hpnimw ydiin at
19855,כמרכיב מכריע בתהליך שיקומם והישרדותם של הקיבוצים,kmrkib mkriy bthlik eiqwmm whierdwtm el hqibwcim
19856,במשך חודשים,bmek xwdeim
19857,התארגנה התנועה הקיבוצית על שלוש זרועותיה,htargnh htnwyh hqibwcit yl elwe zrwywtih
19858,הקיבוץ הארצי,hqibwc harci
19859,הדתי לפרויקט המשותף של,hdti lprwiqv hmewtp el
19860,בית ראשון במולדת,bit raewn bmwldt
19861,המדובר בתוכנית חצי,hmdwbr btwknit xci
19862,שנתית,entit
19863,שבמסגרתה לומדים העולים באולפן,ebmsgrth lwmdim hywlim bawlpn
19864,גרים בקיבוץ ומקבלים ממנו את כל השירותים,grim bqibwc wmqblim mmnw at kl heirwtim
19865,התמורה הכספית,htmwrh hkspit
19866,053,053
19867,שקל לחודש למשפחה בת שלוש נפשות,eql lxwde lmepxh bt elwe npewt
19868,מנוכה,mnwkh
19869,הקליטה של העולים ואין עמה רווח לקיבוצים,hqlivh el hywlim wain ymh rwwx lqibwcim
19870,העולים אמורים לתת לקיבוץ,hywlim amwrim ltt lqibwc
19871,עבודה אחד בחודש,ybwdh axd bxwde
19872,כל שעת עבודה נוספת,kl eyt ybwdh nwspt
19873,בשכר של ששה שקלים לשעה,bekr el eeh eqlim leyh
19874,מהתשלום,mhtelwm
19875,בד בבד מתקיימת בקיבוצים מסגרת נוספת של אולפן,bd bbd mtqiimt bqibwcim msgrt nwspt el awlpn
19876,המיועדת,hmiwydt
19877,וליחידים,wlixidim
19878,אפילו יצירת מסגרת פשוטה זו ארכה חודשים ארוכים,apilw icirt msgrt pewvh zw arkh xwdeim arwkim
19879,ההתלהבות של הקיבוצים,hhtlhbwt el hqibwcim
19880,הנתונים במשבר כלכלי וחברתי קשה,hntwnim bmebr klkli wxbrti qeh
19881,היה רק,hih rq
19882,אחד שעיכב את הפעלת המסגרת,axd eyikb at hpylt hmsgrt
19883,עמדתו העוינת של משרד הקליטה כלפי,ymdtw hywint el merd hqlivh klpi
19884,לא הקלה אף היא,la hqlh ap hia
19885,אלא שהזמן ועמו מצוקת הקליטה עשו את שלהם,ala ehzmn wymw mcwqt hqlivh yew at elhm
19886,הכשר גם,hker gm
19887,השפנים,hepnim
19888,ההסכמים הדרושים נחתמו,hhskmim hdrweim nxtmw
19889,ו008,w008
19890,עולים,ywlim
19891,עתה את צעדיהם הראשונים במסגרות הקיבוציות,yth at cydihm hraewnim bmsgrwt hqibwciwt
19892,איש אינו יודע עדיין כמה,aie ainw iwdy ydiin kmh
19893,אם בכלל יישארו בקיבוצים מעבר למסגרת הזמנית שנקבעה בהסכם,am bkll iiearw bqibwcim mybr lmsgrt hzmnit enqbyh bhskm
19894,השידוך,heidwk
19895,שבין העולים,ebin hywlim
19896,לקיבוצים הוא בעייתי,lqibwcim hwa byiiti
19897,העולים נושאים עמם עולם,hywlim nweaim ymm ywlm
19898,עוין כלפי הקיבוץ,ywin klpi hqibwc
19899,עולה צעיר בעל השקפה ימנית ואנטי,ywlh cyir byl heqph imnit wanvi
19900,סובייטית,swbiivit
19901,תיאר את ההסכם הנחתם בין העולה לקיבוץ בקבלה,tiar at hhskm hnxtm bin hywlh lqibwc bqblh
19902,ראשון במולדת,raewn bmwldt
19903,מיון במחנה ריכוז,miwn bmxnh rikwz
19904,הכוללים ויתור על כל זכויות הפרט,hkwllim witwr yl kl zkwiwt hprv
19905,אף כי החוזה,ap ki hxwzh
19906,לגמרי,lgmri
19907,יש גם המתבדחים כי העולים,ie gm hmtbdxim ki hywlim
19908,שונאים כל דבר המתחיל באות,ewnaim kl dbr hmtxil bawt
19909,ק,q
19910,קומוניזם,qwmwnizm
19911,קולחוז,qwlxwz
19912,קיבוץ,qibwc
19913,התייחסויותיהם לקיבוץ פשטניות,htiixswiwtihm lqibwc pevniwt
19914,דעות קדומות,dywt qdwmwt
19915,המשתקות את חברי הקיבוץ,hmetqwt at xbri hqibwc
19916,איתן סט,aitn sv
19917,איש קיבוץ,aie qibwc
19918,ואחד הרכזים של פרויקט,waxd hrkzim el prwiqv
19919,בית ראשון במולדת,bit raewn bmwldt
19920,אומר,awmr
19921,העולים,hywlim
19922,שקיבוץ זה קולחוז,eqibwc zh qwlxwz
19923,לוקח להם בערך שלושה חודשים להבין שזה לא כך,lwqx lhm byrk elweh xwdeim lhbin ezh la kk
19924,אחרי חודשיים נוספים הם מבינים שהוא כן קולחוז,axri xwdeiim nwspim hm mbinim ehwa kn qwlxwz
19925,קיבוץ,qibwc
19926,בעיני עולים,byini ywlim
19927,הוא גם מלה נרדפת לספר,hwa gm mlh nrdpt lspr
19928,לא מכבר הסיע סט קבוצת עולים,la mkbr hsiy sv qbwct ywlim
19929,לביקור בקיבוץ,lbiqwr bqibwc
19930,כבר ליד נתניה שאלו אותו,kbr lid ntnih ealw awtw
19931,אם הכין את האוטומט עוזי,am hkin at hawvwmv ywzi
19932,אולם בעיקר,awlm byiqr
19933,עולים רבים ממזרח אירופה את הקיבוץ ככפר,ywlim rbim mmzrx airwph at hqibwc kkpr
19934,מושג המזוהה עם פיגור,mweg hmzwhh ym pigwr
19935,והזנחה,whznxh
19936,את סילביה קונסטנטינסקו,at silbih qwnsvnvinsqw
19937,עולה חדשה מרומניה,ywlh xdeh mrwmnih
19938,פגשנו בדירתה,pgenw bdirth
19939,רוחמה,rwxmh
19940,לפני ארבעה חודשים הגיעו מבוקרשט סילביה הארכיטקטית ובעלה,lpni arbyh xwdeim hgiyw mbwqrev silbih harkivqvit wbylh
19941,וניסו להסתדר בתל,wnisw lhstdr btl
19942,אביב,abib
19943,לא בהצלחה יתרה,la bhclxh itrh
19944,על האלטרנטיווה הקיבוצית,yl halvrnviwwh hqibwcit
19945,שמעו דבר,emyw dbr
19946,בחוברות ובפרסומים הרשמיים הקיבוץ אינו מוזכר,bxwbrwt wbprswmim hremiim hqibwc ainw mwzkr
19947,אחרי,axri
19948,הם באו למשרד הקליטה וחיפשו מרכז קליטה,hm baw lmerd hqlivh wxipew mrkz qlivh
19949,הפקיד הציע קיבוץ,hpqid hciy qibwc
19950,לא,la
19951,דבר על הקיבוץ,dbr yl hqibwc
19952,אומרת סילביה,awmrt silbih
19953,33,33
19954,אבל הדימוי היה שונה לחלוטין,abl hdimwi hih ewnh lxlwvin
19955,חשבתי שזה כמו קולחוז,xebti ezh kmw qwlxwz
19956,מין כפר קטן עם כמה בתים,min kpr qvn ym kmh btim
19957,מכוער,mkwyr
19958,לא תרבותי,la trbwti
19959,הגעתי והופתעתי,hgyti whwptyti
19960,הכי הפתיעו אותי האנשים,hki hptiyw awti haneim
19961,כל מה שאמרו על,kl mh eamrw yl
19962,ברומניה ולא עשו,brwmnih wla yew
19963,קיים פה,qiim ph
19964,שם חשבתי שזו אוטופיה,em xebti ezw awvwpih
19965,פה אני רואה,ph ani rwah
19966,קיים,qiim
19967,וזה יפה,wzh iph
19968,על אף ההצהרות החמות האלה,yl ap hhchrwt hxmwt halh
19969,לא משתמע מדבריה,la metmy mdbrih
19970,להישאר בקיבוץ,lhiear bqibwc
19971,היא בת עיר מובהקת ומחכה לחזור לשם,hia bt yir mwbhqt wmxkh lxzwr lem
19972,אילנה נחום,ailnh nxwm
19973,של קיבוץ רוחמה,el qibwc rwxmh
19974,אומרת בכנות,awmrt bknwt
19975,אפילו רצו בני הזוג קונסטנטינסקו,apilw rcw bni hzwg qwnsvnvinsqw
19976,בקיבוץ,bqibwc
19977,הייתי עושה הכל כדי שלא יישארו,hiiti yweh hkl kdi ela iiearw
19978,העיר מתאימה להם וחיי,hyir mtaimh lhm wxii
19979,אינם בשבילם,ainm bebilm
19980,גם בני משפחת חייקול,gm bni mepxt xiiqwl
19981,שהגיעו לפני כחודשיים,ehgiyw lpni kxwdeiim
19982,צלבינסן שבהרי אוראל,clbinsn ebhri awral
19983,טוענים שהקיבוץ אינו פתרון בשבילם,vwynim ehqibwc ainw ptrwn bebilm
19984,האב,hab
19985,אריק,ariq
19986,מהנדס מכונות עתיר ניסיון,mhnds mkwnwt ytir nisiwn
19987,האם,ham
19988,אידה,aidh
19989,מתכננת מחשבים,mtknnt mxebim
19990,הבן,hbn
19991,02,02
19992,הספיק ללמוד שנתיים מתמטיקה באוניברסיטה,hspiq llmwd entiim mtmviqh bawnibrsivh
19993,ואף השלים,wap helim
19994,קצר בצבא האדום,qcr bcba hadwm
19995,סמוך למועד עלייתם התפרסמה בעיתון הרוסי,smwk lmwyd yliitm htprsmh byitwn hrwsi
19996,אוגניוק,awgniwq
19997,כתבה גדולה,ktbh gdwlh
19998,שתיארה במלים חיוביות ביותר את החיים בקיבוץ,etiarh bmlim xiwbiwt biwtr at hxiim bqibwc
19999,נאמר,namr
20000,הוא מקום שטוב לחיות בו,hwa mqwm evwb lxiwt bw
20001,שלכולם יש זכויות שוות,elkwlm ie zkwiwt ewwt
20002,אוכלים ביחד,awklim bixd
20003,בעיות,byiwt
20004,אחרי חודש וחצי ברוחמה בני משפחת חייקול עדיין חושבים שהעיתון,axri xwde wxci brwxmh bni mepxt xiiqwl ydiin xwebim ehyitwn
20005,חטא לאמת,xva lamt
20006,אמנם הקיבוץ אינו קולחוז,amnm hqibwc ainw qwlxwz
20007,אבל זה לא בשבילם,abl zh la bebilm
20008,הם אומרים,hm awmrim
20009,הבעיה בקיבוץ היא שאין בעיה,hbyih bqibwc hia eain byih
20010,אומר אריק,awmr ariq
20011,לנו חשוב להכיר,lnw xewb lhkir
20012,את הבעיות,at hbyiwt
20013,בשביל הפרספקטיווה,bebil hprspqviwwh
20014,אני חושב שהרבה אנשים שלא רוצים,ani xweb ehrbh aneim ela rwcim
20015,בחיים אחרי רוסיה,bxiim axri rwsih
20016,ירצו לגור בקיבוץ,ircw lgwr bqibwc
20017,כשיהיו להם הרבה בעיות,keihiw lhm hrbh byiwt
20018,ולא,wla
20019,אלטרנטיווה,alvrnviwwh
20020,הם יברחו לקיבוץ,hm ibrxw lqibwc
20021,הבן איליה מוסיף,hbn ailih mwsip
20022,בקיבוץ לא,bqibwc la
20023,כמה עולה אוכל,kmh ywlh awkl
20024,כמה עולות נעליים,kmh ywlwt nyliim
20025,איך מנהלים חשבון בבנק,aik mnhlim xebwn bbnq
20026,אולי,awli
20027,טוב,vwb
20028,אבל זה לא החיים,abl zh la hxiim
20029,אני יודע שהרבה צעירים שנולדו בקיבוצים לא,ani iwdy ehrbh cyirim enwldw bqibwcim la
20030,לחיות שם,lxiwt em
20031,הם רוצים את החופש והם רוצים כסף אמיתי בידיים,hm rwcim at hxwpe whm rwcim ksp amiti bidiim
20032,גם אנחנו כך,gm anxnw kk
20033,אילנה נחום,ailnh nxwm
20034,מזכירת הקיבוץ,mzkirt hqibwc
20035,נתנה ביטוי לחרדות של בני הקיבוץ,ntnh bivwi lxrdwt el bni hqibwc
20036,רע מאוד אם יגיעו אלינו מכורח,ry mawd am igiyw alinw mkwrx
20037,אחרים בתנועה הקיבוצית אינם מאמינים,axrim btnwyh hqibwcit ainm maminim
20038,להביא אליהם עולים מרצון,lhbia alihm ywlim mrcwn
20039,הכל נושאים עמם את כישלונות הקליטה בעליות הקודמות,hkl nweaim ymm at kielwnwt hqlivh byliwt hqwdmwt
20040,את מטען הדימויים השליליים שנתקלו בהם,at mvyn hdimwiim heliliim entqlw bhm
20041,החל ממיליונרים,hxl mmiliwnrim
20042,וכלה,wklh
20043,ופושטי יד,wpwevi id
20044,אומר מזכיר,awmr mzkir
20045,מוקי צור,mwqi cwr
20046,החלטנו מראש שצריך להיות,hxlvnw mrae ecrik lhiwt
20047,מסוים של בחירה בצעד זה של העולה,mswim el bxirh bcyd zh el hywlh
20048,לא ייתכן שעולה יבוא לקיבוץ כפי,la iitkn eywlh ibwa lqibwc kpi
20049,מגיע למחנה,mgiy lmxnh
20050,לא ייתכן שהוא יירד מן המטוס וינחת על הדשא שלנו,la iitkn ehwa iird mn hmvws winxt yl hdea elnw
20051,בלי שיאמר,bli eiamr
20052,אני רוצה,ani rwch
20053,לכן קבענו עיקרון שצריכה להיות שיחה מוקדמת,lkn qbynw yiqrwn ecrikh lhiwt eixh mwqdmt
20054,העולה לבין קיבוצניק,hywlh lbin qibwcniq
20055,בתחום ההסברה השתנה המצב,btxwm hhsbrh hetnh hmcb
20056,הקיבוצים,hqibwcim
20057,חוברות ושלחו,xwbrwt welxw
20058,מורים מהתנועה הקיבוצית,mwrim mhtnwyh hqibwcit
20059,היום העולה יודע על,hiwm hywlh iwdy yl
20060,יותר ממה שהוא יודע על כל צורת התיישבות כפרית אחרת,iwtr mmh ehwa iwdy yl kl cwrt htiiebwt kprit axrt
20061,מחקרים אחרונים,mxqrim axrwnim
20062,המחלקה להתיישבות מלמדים כי,hmxlqh lhtiiebwt mlmdim ki
20063,מהעולים מוכנים לבדוק אפשרות של חיים בקיבוץ,mhywlim mwknim lbdwq aperwt el xiim bqibwc
20064,על,yl
20065,אף ממצאים אלה אין הקיבוצים עושים הרבה כדי לכבוש את לבם של העולים,ap mmcaim alh ain hqibwcim yweim hrbh kdi lkbwe at lbm el hywlim
20066,קשה לומר שהם מסתערים על העולה במידע ובסיוע,qeh lwmr ehm mstyrim yl hywlh bmidy wbsiwy
20067,כדרכם של עשרות גופי מתנדבים,kdrkm el yerwt gwpi mtndbim
20068,בהם גוש אמונים,bhm gwe amwnim
20069,מוקי צור מודה שהדברים אינם נעשים לשביעות רצונו,mwqi cwr mwdh ehdbrim ainm nyeim lebiywt rcwnw
20070,מסביר זאת בהעדר תקציב,msbir zat bhydr tqcib
20071,ובכך שאנשי הקיבוצים נכוו בעבר בקליטת עליות,wbkk eanei hqibwcim nkww bybr bqlivt yliwt
20072,לעיירות פיתוח,lyiirwt pitwx
20073,החשש הוא ששוב נגיע לתחושה שנקלוט ונקלוט,hxee hwa eewb ngiy ltxweh enqlwv wnqlwv
20074,הם לא יאהבו אותנו,hm la iahbw awtnw
20075,צור מודע היטב גם להיבט הפוליטי של קליטת העלייה,cwr mwdy hivb gm lhibv hpwlivi el qlivt hyliih
20076,מי שיקצור מוקדם יישאר עם מעט,mi eiqcwr mwqdm iiear ym myv
20077,הוא אומר,hwa awmr
20078,הבעיה היא לזרוע,hbyih hia lzrwy
20079,בשלב זה יש להימנע מניסיון לעשות הון פוליטי מעלייה,belb zh ie lhimny mnisiwn lyewt hwn pwlivi myliih
20080,אמנם המפלגות,amnm hmplgwt
20081,בעקיפין להביא להן גם רווח פוליטי,byqipin lhbia lhn gm rwwx pwlivi
20082,אבל אל לנו להיגרר אחרי תביעותיהן,abl al lnw lhigrr axri tbiywtihn
20083,המפלגות הפוליטיות יורשו להיכנס לתמונה כשהעולה יהיה מוכן להכרעות,hmplgwt hpwliviwt iwrew lhikns ltmwnh kehywlh ihih mwkn lhkrywt
20084,זה,zh
20085,לנו חשוב שהוא ילמד איך כל זה התהווה,lnw xewb ehwa ilmd aik kl zh hthwwh
20086,יש הבדל עצום בינינו,ie hbdl ycwm bininw
20087,כל מסגרת אחרת,kl msgrt axrt
20088,אומר חגי בז,awmr xgi bz
20089,לנושא יהודי,lnwea ihwdi
20090,בקיבוץ הארצי,bqibwc harci
20091,בסופו של דבר,bswpw el dbr
20092,אנחנו מכניסים אותם הביתה,anxnw mknisim awtm hbith
20093,אמירתו זו משקפת את,amirtw zw meqpt at
20094,החרדות המלוות את הקליטה בקיבוצים,hxrdwt hmlwwt at hqlivh bqibwcim
20095,קיים פחד שכישלון הקליטה יפגע בקיבוץ,qiim pxd ekielwn hqlivh ipgy bqibwc
20096,לא רק בנקלטים,la rq bnqlvim
20097,לכן,lkn
20098,למשל,lmel
20099,מהססים להיענות ללחץ הממסד,mhssim lhiynwt llxc hmmsd
20100,התובע,htwby
20101,כל אסם ומחסן בקיבוץ לקליטת עולים,kl asm wmxsn bqibwc lqlivt ywlim
20102,מחשש ליצירת פערים בדיור,mxee licirt pyrim bdiwr
20103,של מזכיר הקיבוץ הדתי,el mzkir hqibwc hdti
20104,אריה קרול,arih qrwl
20105,לקלוט עולים לקיבוץ שאין בו תעסוקה,lqlwv ywlim lqibwc eain bw tyswqh
20106,זו פצצת זמן,zw pcct zmn
20107,מבטאת פחד מסוג אחר,mbvat pxd mswg axr
20108,כך,kk
20109,בין תירוצים לקשיי אמת,bin tirwcim lqeii amt
20110,טראומות עבר לתקוות העתיד,vrawmwt ybr ltqwwt hytid
20111,מתגייסת התנועה הקיבוצית לקליטת העלייה,mtgiist htnwyh hqibwcit lqlivt hyliih
20112,ללא קשר להצלחתה,lla qer lhclxth
20113,אפשר לאמץ לפי שעה את סיכום הביניים של מזכירת רוחמה,aper lamc lpi eyh at sikwm hbiniim el mzkirt rwxmh
20114,אם בין ירושלים לרוחמה אין אף קיבוץ שיש בו עולים,am bin irwelim lrwxmh ain ap qibwc eie bw ywlim
20115,זו סיבה להתבייש,zw sibh lhtbiie
20116,פיניקס,piniqs
20117,אי,ai
20118,פי,pi
20119,דנוור נאגטס ממשיכה לשבור שיאי אן,dnwwr nagvs mmeikh lebwr eiai an
20120,בי,bi
20121,איי,aii
20122,לחיוב ולשלילה,lxiwb wlelilh
20123,אור לאתמול רשמו שחקני הנאגטס שיא שוודאי ישאפו שלא לחקותו,awr latmwl remw exqni hnagvs eia ewwdai ieapw ela lxqwtw
20124,ספיגת  נקודות במחצית הראשונה מול פיניקס סאנס,spigt  nqwdwt bmxcit hraewnh mwl piniqs sans
20125,ששברה שיא מהשבוע,eebrh eia mhebwy
20126,דנוור סן אנטוניו 0938,dnwwr sn anvwniw 0938
20127,פיניקס ניצחה בסיום  והישוותה,piniqs nicxh bsiwm  whiewwth
20128,ישן של בוסטון סלטיקס בקליעת נקודות,ien el bwsvwn slviqs bqliyt nqwdwt
20129,ללא הארכה,lla harkh
20130,ם,m
20131,9591,9591
20132,גם,gm
20133,השני קבעו הסאנס שיא,heni qbyw hsans eia
20134,נקודות,nqwdwt
20135,למאמן פיניקס,lmamn piniqs
20136,קוטון פיטסימונס,qwvwn pivsimwns
20137,היה זה הניצחון ה,hih zh hnicxwn h
20138,007,007
20139,ארבעה שחקנים קלעו יותר ם,arbyh exqnim qlyw iwtr m
20140,נקודות עבור פיניקס,nqwdwt ybwr piniqs
20141,כאשר הקלע הבולט של הקבוצה היה הרוקי סדריק קבאיוס,kaer hqly hbwlv el hqbwch hih hrwqi sdriq qbaiws
20142,נקודות,nqwdwt
20143,לנאגטס,lnagvs
20144,אולדרידג 04,awldridg 04
20145,הרוקי כריס גקסון במשחקו הראשון 62,hrwqi kris gqswn bmexqw hraewn 62
20146,ניצחון דראמטי,nicxwn dramvi
20147,סן אנטוניו על יוסטון 111011,sn anvwniw yl iwsvwn 111011
20148,רוד סטריקלנד,rwd svriqlnd
20149,נק,nq
20150,קלע שלשה 3,qly eleh 3
20151,שניות לסיום,eniwt lsiwm
20152,זו היתה הפעם היחידה במשחק שסן אנטוניו הובילה,zw hith hpym hixidh bmexq esn anvwniw hwbilh
20153,רובינסון קלע  נק למנצחים ואולאגואן  ליוסטון,rwbinswn qly  nq lmncxim wawlagwan  liwsvwn
